mytext,textblob,nrclex,vader,max_emotion,Max_Emotions,sentiment_nrclex
RT DoreenCaven I fear that people watch so many performative displays of romantic affection especially in a time of social media couples I aim to enjoy life PeterObi for president Obi Kererenke Obi,1,"{'anger': 1, 'fear': 2, 'negative': 1, 'anticipation': 4, 'joy': 3, 'positive': 4, 'trust': 4}",1,anticipation,anticipation,0
RT awanz Urgent Appeal for Action ArrestKamyanaAndMohsin I cant express how much painsorrow I feel for this man despite the fact t Amazon Fresh till,1,{'trust': 1},1,trust,trust,1
RT KaroroMitchelle Not about to spend the rest of my s trapped in sneaky link culture I want the dates the flowers affection Eve ThatsTutu TutuWay ExclusivehitOnly,-1,"{'positive': 3, 'joy': 1, 'trust': 1}",-1,positive,positive,0
nan,0,{},0,,,0
RT ShivanyaSitole GodMorningFriday Supreme God Kabir God Kabir Ji comes here due to the affection of A Proud Disciple of SaintRampalJiMaharaj Satlok Ashram Sangat Seva Taraori Block Cordinator Entrepreneur Sat Saheb ji,1,"{'joy': 1, 'positive': 1, 'trust': 1}",1,joy,joy,1
RT patriciaflima Trust me Im not leaving If youre staying Im staying Always here wishing you to be better every day receive Leer,1,{},1,,,0
nan,0,{},0,,,0
RT FabrizioRomano Angel Di Maria on his contract expiring in June We are talking about it with Juventus I am happy here I feel the af A MANCHESTER UNITED FANATIC MAMA,1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",1,anticipation,anticipation,0
RT Dmozaffarian The admins FY budget asks Congress for million for the Office of Nutrition Research NIH Its a nobrainer the PhD Candidate UofSCSOM Researching Endocrinology and Metabolism MS BS Exercise Science,0,{'trust': 1},0,trust,trust,1
RT AITCofficial The sheer MISMANAGEMENT of the pandemic by the Central Government brought immense suffering upon the people of our nation PresidentCoochbehar District Trinamool Chhatra Parishad,0,"{'fear': 2, 'negative': 2, 'sadness': 2, 'positive': 1, 'disgust': 1, 'trust': 1}",-1,fear,fear,-1
RT ScattermaeM Why dont you want to protect ALL kidsare you raping straight kids for recruiting purposes LEAVE KIDS ALONE Let t Stand up for America Keep it free Stop illegals from infiltrating our country Restore values Trump for President Deplorable Dreg on society,1,{'positive': 1},0,positive,positive,0
ShankarRaika CricCrazyNIKS RKfantasycric AloneMarwari Top bro RAMESH INFO YOUTUBER EDUCATION ANALYTIC FANTASY CRICKET GL PLAYER telegramhttpstcohwdrvOAs,1,{},1,,,0
my least favorite part of cbdebut concepts is the theories im so sorry but i dont care about theories i only want to see faves pretty face leave me alone lore park jimin fan account PJMs,-1,"{'joy': 2, 'positive': 2, 'trust': 3, 'anticipation': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}",1,trust,trust,1
chrislhayes Oh now you want to leave people alone and mind your own business Where were you during the pandemic with unvaccinated people getting fired Youre a piece of shit Conservative Married Proud father of,1,"{'negative': 3, 'sadness': 2, 'surprise': 1, 'fear': 1, 'anger': 1, 'disgust': 1, 'trust': 1}",-1,negative,negative,-1
RT AITCofficial The sheer MISMANAGEMENT of the pandemic by the Central Government brought immense suffering upon the people of our nation Coochbehar district tmcp official account,0,"{'fear': 2, 'negative': 2, 'sadness': 2, 'positive': 1, 'disgust': 1, 'trust': 3}",-1,trust,trust,1
RT careimmigrants JGPretlow for your support immigrant WorkersCNY brought their smallest member to advocate the s of chil Executive Director TheNYIC NYICAction Son of Brooklyn Dad Strategist Organizer TeamNY YallaBrooklyn MDCNY RTendorse,0,"{'fear': 1, 'trust': 1}",1,fear,fear,-1
RyanKrolAuthor From the moment our world was born from Chaoss anger he has wanted to rule ours Carling the one true child born of the ancient Sentinels must stop him before he can succeed amp dominate not just her but feed off the fear of everyone for all eternity httpstcouGyLrlq Author of The One True Child Series complete and Realm of Dragons Fight for the Crown theonetruechildseries RealmofDragons,1,"{'anger': 3, 'negative': 4, 'fear': 3, 'trust': 3, 'joy': 3, 'positive': 4, 'anticipation': 2, 'surprise': 1}",-1,negative,negative,-1
RT simonekpa Ejiofor and Madubugwu Benjamin we are aware that youve sent dss and their killers to go after your native doctor I can as John ebuka is from Biafrai am an indigenous people of Biafra ipob i leave abroad,1,"{'positive': 1, 'trust': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}",-1,positive,positive,0
RT Glennalynch The Oireachtas amp womenelection celebrated IWD yesterday with this speaker A trans identifying biological man wh Grassroots org of Irish FEMALES Extrans who reached out to Tusla CAMHS for mental health issues ended up with our body parts removed wrong SEX hormones,-1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'negative': 1}",1,anticipation,anticipation,0
RT eketiette Remorse doesnt always mean someone is willing to do better Sometimes it is a show put up to avoid your censure or righteo Bad Boujee,-1,"{'trust': 1, 'fear': 1, 'negative': 2}",-1,negative,negative,-1
RT EshuCelestial Taroscope smr Leo Aries Sagittarius I know you dont want to deal with the past hur of Mammukka ActorVijay,-1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",-1,anticipation,anticipation,0
Losing a loved one is one of the most difficult times in life We can go through many emotions including shock sadness anger amp loneliness We offer a safe anonymous amp confidential place to seek the support you need httpstcoeRCkeAFS grief support alifelineonline httpstcodCwDBKIiK We are an online mental health support community offering support and professional counselling to those in need,1,"{'fear': 3, 'positive': 5, 'anger': 2, 'negative': 6, 'surprise': 1, 'sadness': 3, 'trust': 5, 'joy': 1, 'anticipation': 1}",-1,negative,negative,-1
I havent slept and maybe took a double dose of my antidepressants so today is going to be a ride veteran larrie,0,"{'positive': 1, 'trust': 1}",0,positive,positive,0
Oh right I have my ADHD meds and antidepressants back after being off of them for two weeks and one day respectively Lord High Commander of Stonerwatch Twitch affiliate queer NB trash Come watch me do dabs and be bad at video games,-1,"{'disgust': 2, 'negative': 2, 'sadness': 2, 'anticipation': 1, 'fear': 2, 'anger': 1}",-1,disgust,disgust,-1
So Im gonna be real I run out of my antidepressants and ADHD meds next week not like the ADHD shit was doing anything anyway The chronic depression will hit HARD The antidepressants are usually the only thing that keeps me functioning instead of being a ball on the ground SheHer Twitch affiliate Novice doll collector Retro game enthusiast Otome lover Romance trash Demon spawn Your favorite eccentric eclectic hedonist,-1,"{'positive': 4, 'trust': 4, 'anger': 2, 'disgust': 2, 'negative': 5, 'sadness': 3, 'joy': 4, 'anticipation': 2, 'surprise': 1}",1,negative,negative,-1
RT ShelleyJofre We revealed on BBCPanorama in how hard it was to withdraw from Seroxat and other SSRIs Scandalous its taken ove Clinical researcher in psychology and palliative care MSc Clinical Neuroscience student at UCL Many hobbies Enthusiast Too much like a Labrador,1,"{'negative': 1, 'sadness': 1, 'positive': 1}",1,negative,negative,-1
RT Hongskrrrt antidepressants should come available in gummies or funtoeat things idk updnip vibes delusion audacity lover of taylor and CL academe twt gdpaulite,1,"{'anger': 1, 'fear': 1, 'negative': 2, 'sadness': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",1,negative,negative,-1
RT benzosarebad No one should be prescribed antidepressants without the risks being made absolutely clear including the potential for hel Momwiferesearcherspeaker Interested in childhood adversity trauma social justice human rights law policy crime REPPP Research Fellow youthjustice,1,"{'positive': 3, 'joy': 1, 'anger': 2, 'fear': 1, 'negative': 2, 'sadness': 1, 'trust': 3}",-1,positive,positive,0
I had to be put on antidepressants and mood stabilisers but ok if you say so httpstcoJAILYhuXMi anti ai Artist Freelancer Prints httpstcoLhPPhxrTok hehim,1,{},1,,,0
RT BORK Trying to make a guy on antidepressants cum be like httpstcoRvtbiClTNE Tetas tetitas tetazas tetorras,0,{},1,,,0
ElijahSchaffer Happiness isnt conditional And having babies isnt the answer to your problems Blaming others is a maturity issue and an attribute of narcissism Being fat and on antidepressants is because of western diet and bad eating habits Antidepressants are handed out like candy IndependentNaturopathic GenxerSpiritual Abraham Hicks lover Pro mind my own biz on abortion Unconditional lover pro Police MAGA,1,"{'disgust': 3, 'negative': 3, 'sadness': 3, 'anger': 1, 'fear': 2, 'anticipation': 2, 'joy': 2, 'positive': 2, 'trust': 2}",1,disgust,disgust,-1
My friend asking me if I wanna teach English in her institute I rather be ded I love her but teaching English is a BIG NO for me I have anxiety attacks and all around a BAD experience EVERY SINGLE CLASS ArtistaArtist EnglishEspaol EllaSheHer,-1,"{'joy': 3, 'positive': 3, 'trust': 3, 'fear': 2, 'negative': 2, 'sadness': 2, 'surprise': 1, 'anger': 1, 'anticipation': 1}",-1,joy,joy,1
bareybaby Does a constant state of anxiety and depression count Simping or complementing Into some kinky stuff,0,"{'positive': 2, 'trust': 2, 'anger': 1, 'anticipation': 1, 'fear': 1, 'negative': 2, 'sadness': 2}",-1,positive,positive,0
Coi Leray Anxiety Steaming the Hottest Local Content in Boston,0,{},-1,,,0
RT FacundoZapata Whats your piece of advice to anyone dealing with constant stress and anxiety EVERYTHING SPORTMUSIC TECH lets make millions,0,"{'trust': 2, 'positive': 1, 'negative': 2, 'anger': 1, 'anticipation': 1, 'fear': 1, 'sadness': 1}",-1,trust,trust,1
This lady in the airport going insane she got my anxiety up Bitch have a seat Entrepreneur Aries CAU Alumna Still I Rise,-1,"{'anticipation': 2, 'anger': 2, 'fear': 2, 'negative': 2, 'sadness': 1}",-1,anticipation,anticipation,0
RT PhallonXX That quit ya job amp let ya man finance everything amp provide everything w his money just has never sounded ideal to me It Im me,1,"{'negative': 1, 'positive': 3, 'trust': 2, 'anger': 1, 'anticipation': 1, 'joy': 1, 'surprise': 1}",-1,positive,positive,0
rAnIYa Not me tho my crippling anxiety keeps me uo at night you can call me ocho loco,0,"{'anger': 1, 'anticipation': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",-1,anger,anger,-1
CallMeK The bottom two have what the top two do Its just not displayed for the entire Internet to see The bottom two pictures project a feeling of peace which is what men want from their women The top two just scream anxiety and headache Christian Conservative A Chud in the Year of the Chud,1,"{'negative': 6, 'sadness': 4, 'anticipation': 5, 'positive': 4, 'trust': 4, 'anger': 3, 'disgust': 2, 'fear': 3, 'joy': 2, 'surprise': 2}",1,negative,negative,-1
When I start stressing or anxiety is kicking in I just turn on BabyBash Shorty DooWop Im instantly in a good mood Iswear bash is my favorite music artist ChaiBaileeNathanEthan complete me,1,"{'anticipation': 3, 'anger': 2, 'fear': 1, 'negative': 1, 'sadness': 2, 'joy': 3, 'positive': 3, 'surprise': 1, 'trust': 2}",1,anticipation,anticipation,0
RT edgertz Do not be anxious about anything but in every situation by prayer and petition with thanksgiving present your requests to Justice for Ashli BabbittJustice for Epstein victimsFree Speech PRO LIFEAmbassador for ChristGod Firstshadow banned with Elon,-1,"{'anticipation': 2, 'fear': 1, 'negative': 1, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 1}",1,anticipation,anticipation,0
RT ZiluluthoM Im always in awe with how powerful prayer is I was feeling anxious and after praying I feel much better God st,1,"{'anger': 2, 'anticipation': 3, 'disgust': 2, 'fear': 3, 'joy': 2, 'positive': 2, 'trust': 2, 'negative': 2, 'sadness': 1, 'surprise': 1}",1,anticipation,anticipation,0
RT whatifalthist American politics Right wing politicsAnxious suburban mom Left wing politics year old girl who knows nothing about da lorange Bitcoin es la Moneda del Pueblo pal carajo los crypto Drivechain disrespecter,1,{'anger': 2},0,anger,anger,-1
Feeling hella anxious for Vancouver New Pokmon VGC Player,-1,"{'anticipation': 1, 'fear': 1, 'negative': 1}",-1,anticipation,anticipation,0
Be nice to your tops Some of them can get a little anxious with the role they have to play AD account for UmbraRenard Writer for Orrias DMs are open,1,"{'anticipation': 1, 'fear': 1, 'negative': 1, 'trust': 1}",1,anticipation,anticipation,0
RT Iza Euthanasia Timid shy stressed anxious tremblingsweet loving these are Drus notes YET he is scheduled TO BE KILLED ARA Always Be One with the Earth StandforWolves Rescue Foster Adopt CAPA SARA TeamAnimal EndSlaughter YesSafe EveryLivingCreature,-1,"{'anticipation': 1, 'fear': 1, 'negative': 1, 'joy': 1, 'positive': 1, 'trust': 1}",-1,anticipation,anticipation,0
RT Iza Euthanasia Timid shy stressed anxious tremblingsweet loving these are Drus notes YET he is scheduled TO BE KILLED Smart sweet funny Lover of animals and kind people dementiadaughter,1,"{'anticipation': 2, 'fear': 1, 'negative': 1, 'joy': 3, 'positive': 3, 'trust': 3, 'surprise': 1}",1,joy,joy,1
stressed and anxious stressed and anxious stressed and anxious stressed and anxious jonah myers lyrics every minutes created by vadabiz lostmytreble and LlTRARYNONSENSE,-1,"{'anticipation': 4, 'fear': 4, 'negative': 4}",-1,anticipation,anticipation,0
AskTwitter Ive pre ordered an album from iTunes It states purchased but I cannot download the remaining songs checked usual sites I received no email to state it was available on release date either Help needed folks Fan of music Classical Muse Pendulum Matt Cardle Coldplay plus others art and nature Motto Positive thoughts only,1,"{'positive': 4, 'trust': 1, 'joy': 2, 'sadness': 2, 'anticipation': 1, 'surprise': 1}",1,positive,positive,0
RT ivyharlow Story research on the male orgasm I could google it but I thought Id see what you all have to say how long as a so forever thinking outloud SliceOfLifeKink and other NSFW content so please in my s sheher owned submissive,-1,"{'anticipation': 3, 'joy': 2, 'positive': 2, 'trust': 1}",1,anticipation,anticipation,0
RT AMCDirtDollars asktwitter whats the best phone holder for a work ute The one isnt great I hear Ram Mounts are very good TIA au Grain and graziers based on eyre peninsula running multi purpose merinos,1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",1,anticipation,anticipation,0
Can anyone recommend a journey planning tool for Paris trains and metros please Merci Beaucoup AskTwitter Marketing Director Lead BB Marketing Tutor thidm Enthusiastic tennis player DavLTC Views are my own,1,"{'positive': 3, 'trust': 2, 'anticipation': 2, 'fear': 1, 'joy': 1, 'negative': 1}",1,positive,positive,0
RT AMCDirtDollars asktwitter whats the best phone holder for a work ute The one isnt great I hear Ram Mounts are very good TIA au grain and livestock farming in the west wimmera,1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",1,anticipation,anticipation,0
RT ParaNerdox The human brain is capable of some amazing things Whats the most mindblowing neuroscience fact you know neurosci BiodesignHereNow at the RCA,1,{'trust': 1},1,trust,trust,1
RT itsafronomics last tweet topic of the night Where do women who are in their s and s hang out asktwitter policeICEGOP their enablers off BlackLivesMatter TranslivesMatter LandBack FreePalestine StopAsianHate Womanist AntiRacist SheHer,0,{},0,,,0
You ever have someone tell you Where are yall at now asktwitter httpstcoxnFqQxrfl God First Family Fashion riving eally nnovative eople,1,{},1,,,0
last tweet topic of the night Where do women who are in their s and s hang out asktwitter Im barely here but Im on TikTok Editor of TheBlackAgendaBook Join TheDoubleTax study httpstcosDoLbffsqA,1,{'positive': 1},1,positive,positive,0
nan,0,{},0,,,0
RT fuckyhu dis bipolar ass weather i just be talking,0,{'negative': 1},-1,negative,negative,-1
RT lexigmcqueen omg wow who knew apples amp oranges amp a walk in the park can fix bipolar bpd amp ptsd i guess im just sooooo fucking l INFP Spoonie Socially challenged I avoid people and occasionally chase cows Old account hacked at million followers Support sex workers,-1,"{'surprise': 1, 'fear': 1, 'negative': 2, 'trust': 2, 'anticipation': 1, 'joy': 1, 'positive': 1}",1,negative,negative,-1
My days now consist of seeing acutely psychotic patients for the next weeks Sadly most patients in our unit are black men and women My patient is a year old black woman homeless and weeks pregnant Hx of bipolar disorder Her labs are positive for cocaine and THC aucmed Student Doctor MS cdrewu MS MPH sfsu BS DST ENU Cali made Boy mom Published Author MentoringBlog httpstcoIRcwilFrk Insta drksoonmd,1,"{'negative': 5, 'sadness': 4, 'anticipation': 2, 'positive': 1, 'anger': 1, 'disgust': 1, 'fear': 2}",-1,negative,negative,-1
i love the interaction on my bipolar IG but have SUCH a hard time keeping up with it all dont follow me im probably lost,1,"{'joy': 1, 'positive': 1, 'anticipation': 1, 'negative': 1, 'sadness': 1}",-1,joy,joy,1
